Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT4,NO,02/01/2020 20:00,5.50000,ppb,P
CT4,NO,02/01/2020 20:15,5.60000,ppb,P
CT4,NO,02/01/2020 20:30,6.80000,ppb,P
CT4,NO,02/01/2020 20:45,5.20000,ppb,P
CT4,NO,02/01/2020 21:00,4.80000,ppb,P
CT4,NO,02/01/2020 21:15,4.70000,ppb,P
CT4,NO,02/01/2020 21:30,3.70000,ppb,P
CT4,NO,02/01/2020 21:45,2.40000,ppb,P
CT4,NO,02/01/2020 22:00,4.60000,ppb,P
CT4,NO,02/01/2020 22:15,3.40000,ppb,P
CT4,NO,02/01/2020 22:30,5.80000,ppb,P
CT4,NO,02/01/2020 22:45,4.50000,ppb,P
CT4,NO,02/01/2020 23:00,3.60000,ppb,P
CT4,NO,02/01/2020 23:15,3.60000,ppb,P
CT4,NO,02/01/2020 23:30,3.50000,ppb,P
CT4,NO,02/01/2020 23:45,3.10000,ppb,P
CT4,NO,03/01/2020 00:00,2.60000,ppb,P
CT4,NO,03/01/2020 00:15,2.70000,ppb,P
CT4,NO,03/01/2020 00:30,1.20000,ppb,P
CT4,NO,03/01/2020 00:45,1.00000,ppb,P
CT4,NO,03/01/2020 01:00,1.00000,ppb,P
CT4,NO,03/01/2020 01:15,1.20000,ppb,P
CT4,NO,03/01/2020 01:30,0.70000,ppb,P
CT4,NO,03/01/2020 01:45,2.30000,ppb,P
CT4,NO,03/01/2020 02:00,1.30000,ppb,P
CT4,NO,03/01/2020 02:15,0.70000,ppb,P
CT4,NO,03/01/2020 02:30,0.40000,ppb,P
CT4,NO,03/01/2020 02:45,1.50000,ppb,P
CT4,NO,03/01/2020 03:00,0.70000,ppb,P
CT4,NO,03/01/2020 03:15,0.70000,ppb,P
CT4,NO,03/01/2020 03:30,1.20000,ppb,P
CT4,NO,03/01/2020 03:45,1.30000,ppb,P
CT4,NO,03/01/2020 04:00,1.10000,ppb,P
CT4,NO,03/01/2020 04:15,1.50000,ppb,P
CT4,NO,03/01/2020 04:30,3.00000,ppb,P
CT4,NO,03/01/2020 04:45,1.20000,ppb,P
CT4,NO,03/01/2020 05:00,0.90000,ppb,P
CT4,NO,03/01/2020 05:15,2.60000,ppb,P
CT4,NO,03/01/2020 05:30,1.40000,ppb,P
CT4,NO,03/01/2020 05:45,2.40000,ppb,P
CT4,NO,03/01/2020 06:00,4.40000,ppb,P
CT4,NO,03/01/2020 06:15,3.60000,ppb,P
CT4,NO,03/01/2020 06:30,15.10000,ppb,P
CT4,NO,03/01/2020 06:45,10.70000,ppb,P
CT4,NO,03/01/2020 07:00,15.70000,ppb,P
CT4,NO,03/01/2020 07:15,11.40000,ppb,P
CT4,NO,03/01/2020 07:30,12.90000,ppb,P
CT4,NO,03/01/2020 07:45,11.60000,ppb,P
CT4,NO,03/01/2020 08:00,13.10000,ppb,P
CT4,NO,03/01/2020 08:15,16.00000,ppb,P
CT4,NO,03/01/2020 08:30,14.40000,ppb,P
CT4,NO,03/01/2020 08:45,21.70000,ppb,P
CT4,NO,03/01/2020 09:00,26.90000,ppb,P
CT4,NO,03/01/2020 09:15,26.20000,ppb,P
CT4,NO,03/01/2020 09:30,35.80000,ppb,P
CT4,NO,03/01/2020 09:45,8.60000,ppb,P
CT4,NO,03/01/2020 10:00,2.70000,ppb,P
CT4,NO,03/01/2020 10:15,5.90000,ppb,P
CT4,NO,03/01/2020 10:30,16.70000,ppb,P
CT4,NO,03/01/2020 10:45,9.80000,ppb,P
CT4,NO,03/01/2020 11:00,8.80000,ppb,P
CT4,NO,03/01/2020 11:15,7.80000,ppb,P
CT4,NO,03/01/2020 11:30,27.10000,ppb,P
CT4,NO,03/01/2020 11:45,4.10000,ppb,P
CT4,NO,03/01/2020 12:00,14.20000,ppb,P
CT4,NO,03/01/2020 12:15,18.60000,ppb,P
CT4,NO,03/01/2020 12:30,11.80000,ppb,P
CT4,NO,03/01/2020 12:45,6.30000,ppb,P
CT4,NO,03/01/2020 13:00,4.60000,ppb,P
CT4,NO,03/01/2020 13:15,8.10000,ppb,P
CT4,NO,03/01/2020 13:30,7.10000,ppb,P
CT4,NO,03/01/2020 13:45,7.90000,ppb,P
CT4,NO,03/01/2020 14:00,4.50000,ppb,P
CT4,NO,03/01/2020 14:15,9.50000,ppb,P
CT4,NO,03/01/2020 14:30,7.00000,ppb,P
CT4,NO,03/01/2020 14:45,5.30000,ppb,P
CT4,NO,03/01/2020 15:00,12.80000,ppb,P
CT4,NO,03/01/2020 15:15,17.30000,ppb,P
CT4,NO,03/01/2020 15:30,6.70000,ppb,P
CT4,NO,03/01/2020 15:45,23.00000,ppb,P
CT4,NO,03/01/2020 16:00,14.10000,ppb,P
CT4,NO,03/01/2020 16:15,10.90000,ppb,P
CT4,NO,03/01/2020 16:30,32.60000,ppb,P
CT4,NO,03/01/2020 16:45,25.90000,ppb,P
CT4,NO,03/01/2020 17:00,22.00000,ppb,P
CT4,NO,03/01/2020 17:15,35.10000,ppb,P
CT4,NO,03/01/2020 17:30,27.40000,ppb,P
CT4,NO,03/01/2020 17:45,37.50000,ppb,P
CT4,NO,03/01/2020 18:00,29.90000,ppb,P
CT4,NO,03/01/2020 18:15,22.70000,ppb,P
CT4,NO,03/01/2020 18:30,74.70000,ppb,P
CT4,NO,03/01/2020 18:45,23.00000,ppb,P
CT4,NO,03/01/2020 19:00,28.40000,ppb,P
CT4,NO,03/01/2020 19:15,29.60000,ppb,P
CT4,NO,03/01/2020 19:30,23.70000,ppb,P
CT4,NO,03/01/2020 19:45,41.30000,ppb,P
CT4,NO,03/01/2020 20:00,17.40000,ppb,P
CT4,NO,03/01/2020 20:15,25.30000,ppb,P
CT4,NO,03/01/2020 20:30,20.80000,ppb,P
CT4,NO,03/01/2020 20:45,27.50000,ppb,P
CT4,NO,03/01/2020 21:00,37.60000,ppb,P
CT4,NO,03/01/2020 21:15,13.90000,ppb,P
CT4,NO,03/01/2020 21:30,47.00000,ppb,P
CT4,NO,03/01/2020 21:45,15.50000,ppb,P
CT4,NO,03/01/2020 22:00,23.50000,ppb,P
CT4,NO,03/01/2020 22:15,40.20000,ppb,P
CT4,NO,03/01/2020 22:30,10.10000,ppb,P
CT4,NO,03/01/2020 22:45,11.70000,ppb,P
CT4,NO,03/01/2020 23:00,13.60000,ppb,P
CT4,NO,03/01/2020 23:15,17.80000,ppb,P
CT4,NO,03/01/2020 23:30,5.30000,ppb,P
CT4,NO,03/01/2020 23:45,8.20000,ppb,P
CT4,NO,04/01/2020 00:00,11.10000,ppb,P
CT4,NO,04/01/2020 00:15,13.40000,ppb,P
CT4,NO,04/01/2020 00:30,6.70000,ppb,P
CT4,NO,04/01/2020 00:45,5.40000,ppb,P
CT4,NO,04/01/2020 01:00,8.80000,ppb,P
CT4,NO,04/01/2020 01:15,4.00000,ppb,P
CT4,NO,04/01/2020 01:30,3.60000,ppb,P
CT4,NO,04/01/2020 01:45,4.50000,ppb,P
CT4,NO,04/01/2020 02:00,3.80000,ppb,P
CT4,NO,04/01/2020 02:15,4.10000,ppb,P
CT4,NO,04/01/2020 02:30,1.90000,ppb,P
CT4,NO,04/01/2020 02:45,3.10000,ppb,P
CT4,NO,04/01/2020 03:00,1.80000,ppb,P
CT4,NO,04/01/2020 03:15,2.50000,ppb,P
CT4,NO,04/01/2020 03:30,1.50000,ppb,P
CT4,NO,04/01/2020 03:45,1.30000,ppb,P
CT4,NO,04/01/2020 04:00,1.80000,ppb,P
CT4,NO,04/01/2020 04:15,3.90000,ppb,P
CT4,NO,04/01/2020 04:30,2.20000,ppb,P
CT4,NO,04/01/2020 04:45,3.20000,ppb,P
CT4,NO,04/01/2020 05:00,1.40000,ppb,P
CT4,NO,04/01/2020 05:15,1.10000,ppb,P
CT4,NO,04/01/2020 05:30,2.10000,ppb,P
CT4,NO,04/01/2020 05:45,3.50000,ppb,P
